cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
60,1773620529.331092,oracle,bottleneck,40,Optimal,985.4688025156656,971.6705816904703,53.274459001841024,2
61,1773620529.385411,oracle,bottleneck,40,Optimal,1004.7703705469764,1004.7703705469764,54.06129200127907,5
62,1773620529.439368,oracle,bottleneck,40,Optimal,1001.7636714299517,1023.6793544133501,53.68924999493174,4
63,1773620529.493858,oracle,bottleneck,40,Optimal,1015.5417902628582,1015.5417902628582,54.172542004380375,3
64,1773620529.548247,oracle,bottleneck,40,Optimal,1023.4620337804157,1023.4620337804159,54.09779099863954,3
65,1773620529.6022022,oracle,bottleneck,40,Optimal,1053.7313199361165,1028.4080991109208,53.7249580011121,5
66,1773620529.656406,oracle,bottleneck,40,Optimal,1014.1648211161294,1036.966972605387,53.93091699806973,6
67,1773620529.71056,oracle,bottleneck,40,Optimal,1050.5787656148275,1024.8327786763507,53.895625002041925,0
68,1773620529.7666922,oracle,bottleneck,40,Optimal,1016.225286102295,1039.5853660583496,55.880291998619214,3
69,1773620529.821752,oracle,bottleneck,40,Optimal,1048.0317253112794,1019.2842796325688,54.77249999967171,2
70,1773620529.8756511,oracle,bottleneck,40,Optimal,1044.4306291580197,1044.4306291580199,53.65137500484707,4
71,1773620529.9294279,oracle,bottleneck,40,Optimal,1035.5613925298055,1035.5613925298055,53.52383399440441,3
72,1773620529.983541,oracle,bottleneck,40,Optimal,1045.2700616836544,1033.02255115509,53.87245799647644,2
73,1773620530.0399418,oracle,bottleneck,40,Optimal,1038.1084800084432,1048.1956374486285,56.129582997527905,5
74,1773620530.0951529,oracle,bottleneck,40,Optimal,1063.1494466781614,1063.1494466781614,54.93695900077,6
75,1773620530.149496,oracle,bottleneck,40,Optimal,1055.9743830998739,1055.9743830998739,54.09458399662981,2
