topology,rows,mean_PR,min_PR,pct_PR_ge_090,pct_PR_ge_095,mean_DB,p95_DB,mean_decision_ms,p95_decision_ms,mean_selected_od,full_od_fallback_rate,k_escalation_rate,gnn_usage_rate,lpd_usage_rate,heuristic_used_rate,flexdate_PR,flexdate_DB,PR_win_or_tie,DB_win_or_tie,WIN_BOTH
abilene,2016,0.9966855719735753,0.9603758517566731,100.0,100.0,0.006126226228719215,0.011113823679426493,7.08446680717258,7.222614249258186,32.02827380952381,0.023313492063492064,0.0,1.0,1.0,0.0,0.958,0.0513,True,True,True
cernet,200,0.994198256431924,0.977214769049482,100.0,100.0,0.003205157437633329,0.0018434749176520963,23.254416885210958,29.022222599087396,43.45,0.015,0.02,1.0,1.0,0.0,0.975,0.0183,True,True,True
geant,672,0.9998441939682498,0.9962124571922625,100.0,100.0,0.003776265674833202,0.007499757670697808,18.86228613248672,15.275741854202305,42.63095238095238,0.03125,0.03869047619047619,1.0,1.0,0.0,0.995,0.0296,True,True,True
sprintlink,200,0.9999999999999999,0.9999999999999983,100.0,100.0,0.004712337477290294,0.002899297510667731,155.54642702983983,1082.153566351917,244.83,0.115,0.125,1.0,1.0,0.0,0.999,0.051,True,True,True
ebone,200,1.0,0.9999999999999993,100.0,100.0,0.0012470644683455238,0.0019333405833561082,14.228186374712095,14.932277401385363,30.0,0.0,0.0,1.0,1.0,0.0,,,,,
tiscali,200,0.9999963582683625,0.9995043756915399,100.0,100.0,0.00713729972174306,0.012120313248141248,4340.387434984805,9255.545337198415,1923.93,0.815,0.885,1.0,1.0,0.0,,,,,
germany50,288,0.9981423713837826,0.9548327648017318,100.0,100.0,0.010605965967863654,0.018231812667787513,73.71489612857356,426.6624733510948,108.31597222222223,0.059027777777777776,0.059027777777777776,1.0,1.0,0.0,,,,,
vtlwavenet2011,200,0.9913415464827608,0.9881766153126001,100.0,100.0,0.002295620107126002,0.0008191738198665596,128.3008760500161,120.80516315254499,71.71,0.005,0.005,1.0,1.0,0.0,,,,,
